,,,,,,,,,,,,,,,,,
index,title,loadWord,tips1,tips2,tips3,passWord,failWord,shareWord,failWord0,failWord1,failWord2,failWord3,failWord4,failWord5,failWord6,failWord7,
12,叫醒坑爹男,让沉睡中的“睡美男”醒来吧！,自然醒最好了。,困意没了自然就醒啦。,好困啊，ZZZ~~,我又被自己帅醒了。,,坑爹男堪称“睡神”，谁能叫醒他？,啊，下手太重了！！,吓得我差点尿出来了。,哎呀，裤子又湿了。,这闹钟还让不让人愉快的睡觉啊？,,,,,
13,坑爹猜成语,又到大家最喜欢的坑爹猜成语环节了！,小白的哥哥？,大白？大白！,你长得真的好像大白哦！,我的体育老师终于不教语文了！,,小白你哥到底是谁？,BOOM！你就是个小白！,,,,,,,,
19,欲练此功,月黑风高杀人夜，问君何时磨菜刀。,月亮真够圆。,点击背包有惊喜。,是时候打开真正的秘籍了。,宝典在手，天下我有！,,葵花宝典出现，坑爹男小JJ不保！,不必自宫，亦可成功。,妈蛋，说好的不用枪呢？,平时撸太多，刚跑两步就累死了……,,,,,,
22,围住坑爹男,围住坑爹男，让他无处可逃。,这么简单围住就不叫坑爹了。,找找漏了什么道具。,注意瞒天过海，一回合多操作。,坑爹牌垃圾桶，好腻害！,,神经猫？NO，是围住坑爹男！,呵呵，就这智商还想围住本骚爷？,看我这风骚的走位，想去哪就去哪。,,,,,,,
11,打败大只佬,小肌佬干大只佬！,力量相差太大了，怎么打得过？,硬的不行，软的还不行?,灵活的来回让大只佬累倒吧!,小肌佬有大智慧！,,大只佬，有种单挑别用手！,一巴掌拍到墙上抠不出来！ ,,,,,,,,
23,加油加油,小子，大叔我来帮你加油。,小子，满油的，加毛线油啊！,加油站，加油？,好的，加油！,大叔你为何如此销魂！,,坑爹男开着土豪车，竟然加不了油？,油桶你都敢点？No Zuo No Die！,大叔你不懂我的心5555,,,,,,,
2,我要飞得更高,如何帮助坑爹男飞得更高?,千万别用气球！,倒立玩这游戏看看？,如果把把坑爹男抖掉下去呢？,我是一只小小鸟，我飞得好高好高！,,我是一只小小小小鸟，我要飞得更高！,啊~~！我的菊花。,这是坐屎的节奏啊。,,,,,,,
4,愚公移山,因为这座山，我的WIFI信息一直都不好！,你觉得一个人真能将山挖走么？,帮愚公找个老婆吧。,坑爹男这挫样，在人间找不到老婆的，天上缺男的。,小孩子玩了这关根本把持不住！,,挖掘技术哪家强，坑爹游戏坑爹男！,我一世英明，竟然被这臭脚踩死了，各种不服！,难道移座山都有错吗？为什么要劈我？,,,,,,,
1,我要回家,妈妈喊我回家吃饭啦！,远在天边，近在眼前！,"家就是Home,Home就是家！",暂停一下，里面就有Home了！,世上只有妈妈好，有妈的孩子像块宝！,,这里是哪里？我要回家55555……,叫你丫的手贱！,这是什么鬼?吓屎我了！,,,,,,,
17,蓄钱罐,存钱容易，取钱难！,密码什么的都是浮云。,点点猪尾巴看看。,把钱倒出来吧。,你到底对那只猪干了什么！？,,坑爹存钱罐的密码到底是多少？,取点钱也是蛮拼的。,,,,,,,,
15,追小偷,你别跑，我保证不撞死你。,坑爹游戏里的车不是这样开的。,拉近你和他的距离。,注意进度条的头像是关键。,傻了吧，送你上西天！,,瞄的，警车肿么这么慢？,你要用脚趾来点这个加速。,你爸是李肛吗？敢撞警车！,,,,,,,
6,坑爹男变帅,我要变得更帅！,难道只能去整容吗？,带个面具，比整容还便宜。,找到最帅的面具。,帅得连我妈妈都不认识了！,,这是谁啊？不堪入目！,我丑得把自己都吓死了。,长得丑不是罪，吓死人就不对。,尼玛怎么是个女的？,画面太美，我不敢看！,貌美“如花”，瞬间秒杀。,哪个变态收藏的面具？,小酒窝，长鼻毛，你丑得无可救药。,呃啊……我的眼睛！,
5,溺水坑爹男,救命啊！救命啊！,如花能救坑爹男。,发挥美女的作用。,坑爹男喜欢美女！,牡丹花下死，溺水也风流。,,坑爹男溺水了，谁来救救他？,在这么浅的地方就溺死了。,知道真相的我眼泪掉下来……,吓得我脸都绿了。,牡丹花下死，溺水也风流。,看你耍流氓，活该被打！,,,,
14,拆炸弹,我靠，有…有…有炸弹！,你会拆炸弹吗？,没学过还拆不是找屎吗？,电视上都是怎么演的。,拆弹20年，我们更专业！,,拆弹专家在哪里，快来救我！,等死的节奏么？,叫你丫手贱，屎了吧！,,,,,,,
18,坑爹填空题,小小填空题，哪里难倒我？,要留意关卡外的坑爹男！,会做“填空题”吗？,这不是一道数学题！填空填空。,填空嘛，都说清清楚楚的了。,,数学老师，来算下这道题吧！,这么简单的填空题都做不出来！,,,,,,,,
3,坑爹丑小鸭,你的蛋就是我的蛋！,不要直接去偷蛋。,发挥猪的作用！,猪，你的鼻子有两个孔~~,君子坦荡荡，小人藏鸡鸡！,,不怕神一样的对手，就怕猪一样的队友。,干嘛啄我不啄猪？,,,,,,,,
8,广场舞噪音,当音乐家遇上广场大妈，有心也无力啊！,后面这段好难听啊。,好听的就听，不好听就不听。,关掉音乐就听不到啦。,什么样的节奏最呀最摇摆？,,广场舞大妈霸场，这你能忍？,我只想安静地做个美男子。,,,,,,,,
20,冰桶挑战赛,鼻尔盖茨@ 坑爹男参加冰桶挑战赛！,谁说一定要接受挑战的？！,先让冰融化吧。,摩擦生热哦！,这么机智，给你艾特好友们一起挑战吧！,,坑爹冰桶挑战赛，你敢挑战吗？,谁拉的绳子，放学别走！,啊啊啊，烫死我了！,这是叫欲火焚身吗？,怂，竟然不敢发起挑战？,,,,,
10,我要睡觉,春眠不觉晓，老师真特么吵。,想睡觉？没~那么简单。,点开抽屉试试看。,什么东西才能挡住桌角呢？,小明说上课要带块砖。,,上课偷偷睡觉，首先要有个好课桌！,不要问我为什么笔会画晕。,不要问我桌子为什么会动。,不要问我谁切了我的桌脚。,不要问我为什么尺子会砸晕你。,,,,,
21,骗过警卫,此路是我开，此树是我栽。,要猥琐点，再猥琐点。,留意坑爹男头上的那个箭头。,你完全可以控制警卫走开的！,警卫一边凉快去。,,警卫，不能睁一只眼闭一只眼吗？,汪汪汪！咬死你！,小样！没看到警示牌啊？,,,,,,,
7,独轮车,第一届坑爹独轮车大赛！,有这么容易到达终点吗？,仔细看看你的独轮车。,车胎没气当然不能骑咯。,是时候表演真正的技术了！,,我的独轮车，摩擦摩擦！,尼玛你作弊！,扑街吧，我的独轮车！,,,,,,,
16,坑爹马里奥,坑爹马里奥，大坑让你跳。,坑是用来填的。,不怕死就能过！,尽管跳就是了。,一将功成万骨枯。,,坑爹男的滑板鞋只能跳这么高！,死得好惨啊！,,,,,,,,
9,躲开炸弹,打开宝箱有惊喜！,停一停，想一想。,躲到“家”里才是最安全的。,按HOME键再回来看看。,骚年，还能再机智点吗？,,发现宝箱？不对，竟然是炸弹！,啊啊啊，亮瞎了我的24k钛合金狗眼！,中毒太深，脸都绿了。,看到宝箱，我乐开了花！Boom...,,,,,,
24,小人逃出,我赌5毛你走不出这个怪圈。,没有路怎么走？,随便拿个东西给我走呀！,如果圈圈缺了一部份呢？,老子终于通关了，终于可以拯救世界了！,,坑爹男画了个神奇的怪圈！,别~~~~别黑我啊！,你见过被文具砸死的吗？,会爆炸的计算器，你造吗？,强擦也灰飞烟灭。,手拿菜刀砍电线，一路火花带闪电！,,,,